时间,城市,音乐剧,卡司,剧院
2025-01-01 14:00,上海,锦衣卫之刀与花,风舞阳:吴志军 梅霜花:张泽 马醉灯:李秋盟 汉王:徐泽辉 朱瞻基:赵钱龙 孙贵妃:冯镝霏 夜凌霄:樊苏颐 侯公公:胡芳洲 龙连营:霍泽安 风树:宗雪健 歌队:冯丽冰 歌队:李浩楠 歌队:李季 歌队:黄骁文,上剧场
2025-01-01 14:00,南京,醉后赢家,李丁一:王君睿 杜海燕:陶诗佳 杨鼎天:李浩延 信佳佳:李劲楠 周大福:葛一江 金小美:丁诗馨 警察:周启光,开心麻花老门东沉浸剧场
2025-01-01 14:30,上海,小说,怀特·希斯曼:汤佳明 格雷·亨特:王瀚宇 休·戴克:纪晓坤,上音歌剧院歌剧厅
2025-01-01 14:30,上海,嗜血博士,爱德华:相征 乔纳森:徐佳文 玛莎:钱安琪,星空间1023号·涵金小剧场
2025-01-01 14:30,上海,长腿叔叔,Jervis:高杨 Jerusha:张会芳,兰心大戏院
2025-01-01 14:30,上海,摇滚太白·诗与星,辛辰:陈玉婷 李月圆:孙乐仟 月娃&老师:王珏语涵,星空间407号·她剧场
2025-01-01 14:30,上海,嘿！亚利桑那,简:冯远 比利:陈楷 怀亚特:张艺 约瑟芬:王玙璠 强尼:褚俊驰 哈利:孙金瀚 波特:脱骁尧,嘿！亚利桑那
2025-01-01 14:30,上海,时光代理人,程小时:舒荣波 陆光:杨浩然 乔苓:闫乐湟 林贞/陈潇妈:沈恬 陈潇/陆鸿斌:宋元明,时光剧场
2025-01-01 14:30,上海,狂炎奏鸣曲,J:高雨晨 S:郑艺彬 K:遇泓羊,星空间·星空穹顶剧场
2025-01-01 14:30,上海,末日迷途,海曼:叶宇锋 威廉:沈育奇 贝拉:罗玉玲 阿曼达:曹蘅,星空间8808号·涵金剧场
2025-01-01 14:30,上海,命运之上,Johnny:何铭海 Shirley:强东玥 路西法:翟李朔天 拉斐尔:谭淳之,星空间19号·剧魅剧场
2025-01-01 14:30,上海,OZ,俊一:周宇杰 铁皮:章庭链 MAX:廖哲珣 BUTTON:刘子赫,星空间20号·MOriginal Box
2025-01-01 14:30,上海,她对此感到厌烦,莉莉丝:年蔓婷 辛西娅:杨依泠 多琳:左一平 罗纳德:李卓远 国王:王烨,黄浦剧场小剧场
