时间,城市,音乐剧,卡司,剧院
2023-01-01 11:00,成都,熊猫,,熊猫剧院
2023-01-01 13:00,上海,致爱,艾丽莎:王洁璐 付平安:赵嘉豪,星空间11号·MOriginal Box
2023-01-01 14:00,上海,夜半歌声,宋丹萍:钟嘉诚 绿蝶:喻越越 孙晓鸥:陆宇鹏 徐阿嬷:江珊 许维邦:丁伟 琳达:李泽美 红柳:王珏语涵 费南:朱微之 老冀:黄湙云 罗杰:赵雨阳,中国大戏院
2023-01-01 14:00,上海,月亮与六便士,查尔斯:白一博 艾米&老板娘:暴晓萱 威廉&斯特里夫:王壹 布兰琪&爱塔:盛可欣,星空间815号·缪时客小剧场
2023-01-01 14:00,上海,翻国王棋,奥尔森:丁宇佳 克雷加德:张琦铭 戈布:王颢珏 弗雷:车鸣笛 玛尼:周波 伊敦:杜钇樵,星空间77号·鲸剧场
2023-01-01 14:00,上海,莎翁乐园,莎士比亚:祝颂皓 哈姆雷特:张智涵 罗密欧:徐泽辉 朱丽叶:刘浩冉,上剧场
2023-01-01 14:00,成都,熊猫,,熊猫剧院
2023-01-01 14:30,上海,卡拉马佐夫兄弟,费尧多尔:付翔 德米特里:王瀚宇 伊万:刘令飞 阿辽沙:郭虹旭 斯乜尔加科夫:张泽,上海大剧院别克中剧场
2023-01-01 14:30,上海,阴天,金祐镇:钟舜傲 尹心惪:郭耀嵘 神秘男子:王培杰,上海共舞台
2023-01-01 14:30,上海,沉默的真相,江阳:顾易 严良:姜彬 李静:江南 玲玲:刘乙萱 张超:张艺宝 朱伟:吴俊鹏 陈明章:翟松 赵铁民:郝晓辉 李建国:刘政 吴爱可:陈姝月 岳军:赵洪博,人民大舞台
2023-01-01 14:30,上海,吸血鬼亚瑟,亚瑟:许昌泰 艾玛:陈玉婷 约翰:刘勃汐,星空间15号·睿鱼剧场
2023-01-01 14:30,北京,致命旋律,尼古拉斯:王帅 科伦:李卓远 杰弗瑞:李信 艾芙琳:刘晓燕,开心麻花A66剧场
2023-01-01 15:00,武汉,灯塔,霍普:文振宇 怀恩:饶克勤 守塔人:张鑫澳,武汉剧院小剧场
2023-01-01 16:00,南京,香水之谜,凯瑟琳娜/罗西娜:赵昀迪 多梅尼克/保罗:韩逸秋 亨利二世/安东尼:孙敬贤 夜莺:姜可夏,香水之谜剧场
2023-01-01 16:30,上海,致爱,艾丽莎:冯远 付平安:王桓,星空间11号·MOriginal Box
2023-01-01 16:30,上海,银河铁道之夜,乔班尼:夏阳 康贝瑞拉:赵伟钢,星空间99号·Salute小剧场
2023-01-01 19:30,上海,唐朝诡事录之曼陀罗,苏无名:宗俊涛 卢凌风:丁辉 谢雁:李宸希 姜落声:孙乐仟 柳莺莺:宁梦恬 徐自:李乐尧 罗一手:王靖棋 刘大:杜豪洪 陈氏:朱芷秋 顾田:胡轩豪 曼陀罗:文嫣,上海文化广场主剧场
2023-01-01 19:30,上海,阴天,金祐镇:叶麒圣 尹心惪:李炜铃 神秘男子:钟嘉诚,上海共舞台
2023-01-01 19:30,上海,沉默的真相,江阳:毛二 严良:吴俊鹏 李静:王雪旌 玲玲:丁汀 张超:张艺宝 朱伟:张云轩 陈明章:刘政 赵铁民:郝晓辉 李建国:桑可舟 吴爱可:张烜尔 岳军:周波,人民大舞台
2023-01-01 19:30,上海,致命旋律,尼古拉斯:丁宇佳 科伦:王培杰 杰弗瑞:方银河 艾芙琳:曹小欠儿,长江剧场黑匣子
2023-01-01 19:30,上海,翻国王棋,奥尔森:刘瀚聪 克雷加德:刘阳 戈布:刘官卫 弗雷:于滨嘉 玛尼:邵立君 伊敦:暴晓萱,星空间77号·鲸剧场
2023-01-01 19:30,上海,嘿！亚利桑那,简:吴杭律 比利:滕春鹏 怀亚特:施哲明 约瑟芬:王玙璠 强尼:连江维 哈利:唐超 波特:高旭,嘿！亚利桑那
2023-01-01 19:30,上海,莎翁乐园,莎士比亚:祝颂皓 哈姆雷特:张智涵 罗密欧:徐泽辉 朱丽叶:余思冉,上剧场
2023-01-01 19:30,上海,危险游戏,RICHARD:管重昊 NATHAN:张旭辰,星空间66号·Salute小剧场
2023-01-01 19:30,上海,吸血鬼亚瑟,亚瑟:潘龙 艾玛:邱鑫悦 约翰:黄偲,星空间15号·睿鱼剧场
2023-01-01 19:30,北京,致命旋律,尼古拉斯:王帅 科伦:李卓远 杰弗瑞:李信 艾芙琳:刘晓燕,开心麻花A66剧场
2023-01-01 19:30,成都,阿波罗尼亚,理查德:唐浩瑜 奥斯卡:徐圣兹 史蒂夫:李存贤,西部文化产业中心·一台好戏小剧场
2023-01-01 19:30,成都,灯塔,霍普:廖城志 怀恩:冯文彦 守塔人:杜舟,西部文化产业中心·鲸剧场
2023-01-01 19:30,广州,阿波罗尼亚,理查德:杨宇威 奥斯卡:周靖杰 史蒂夫:李玉言,阿波罗尼亚·广州馆
2023-01-01 19:30,武汉,灯塔,霍普:宋凯文 怀恩:张艺 守塔人:刘秫呈,武汉剧院小剧场
2023-01-01 19:30,南京,火蔷薇,,1912戏精小剧场
2023-01-01 19:30,长沙,阿波罗尼亚,理查德:施博威 奥斯卡:李政绪 史蒂夫:郑文博,阿波罗尼亚·长沙馆
2023-01-01 20:00,上海,灯塔,霍普:赵洪博 怀恩:尹智博 守塔人:翟松,星空间9号·鲸剧场
