时间,城市,音乐剧,卡司,剧院
2023-01-01 20:00,上海,致爱,艾丽莎:邓贤凌 付平安:钟子崴,星空间11号·MOriginal Box
2023-01-01 20:00,上海,银河铁道之夜,乔班尼:高杨 康贝瑞拉:朱微之,星空间99号·Salute小剧场
2023-01-02 11:00,成都,熊猫,,熊猫剧院
2023-01-02 13:00,上海,灯塔,霍普:郭洧江 怀恩:尹智博 守塔人:孙欣业,星空间9号·鲸剧场
2023-01-02 14:00,成都,熊猫,,熊猫剧院
2023-01-02 14:30,上海,沉默的真相,江阳:胡迪 严良:吴俊鹏 李静:江南 玲玲:刘乙萱 张超:刘牧 朱伟:毛寅东 陈明章:翟松 赵铁民:郝晓辉 李建国:刘政 吴爱可:罗玉玲 岳军:田野,人民大舞台
2023-01-02 14:30,上海,致命旋律,尼古拉斯:丁宇佳 科伦:姜崃 杰弗瑞:方银河 艾芙琳:曹小欠儿,长江剧场黑匣子
2023-01-02 14:30,上海,吸血鬼亚瑟,亚瑟:顾易 艾玛:陈玉婷 约翰:黄偲,星空间15号·睿鱼剧场
2023-01-02 14:30,北京,致命旋律,尼古拉斯:王帅 科伦:李卓远 杰弗瑞:李信 艾芙琳:刘晓燕,开心麻花A66剧场
2023-01-02 14:30,长沙,阿波罗尼亚,理查德:朱亮 奥斯卡:李政绪 史蒂夫:陈志,阿波罗尼亚·长沙馆
2023-01-02 15:00,武汉,灯塔,霍普:文振宇 怀恩:饶克勤 守塔人:刘秫呈,武汉剧院小剧场
2023-01-02 16:00,上海,危险游戏,RICHARD:管重昊 NATHAN:李苏霖,星空间66号·Salute小剧场
2023-01-02 16:30,上海,致爱,艾丽莎:冯远 付平安:张博俊,星空间11号·MOriginal Box
2023-01-02 16:30,上海,银河铁道之夜,乔班尼:张旭辰 康贝瑞拉:赵伟钢,星空间99号·Salute小剧场
2023-01-02 16:30,南京,火蔷薇,,1912戏精小剧场
2023-01-02 19:30,上海,唐朝诡事录之曼陀罗,苏无名:于晓璘 卢凌风:丁辉 谢雁:纪晓坤 姜落声:孙乐仟 柳莺莺:宁梦恬 徐自:李乐尧 罗一手:帕赛 刘大:王靖棋 陈氏:顾明漪 顾田:胡轩豪 曼陀罗:文嫣,上海文化广场主剧场
2023-01-02 19:30,上海,卡拉马佐夫兄弟,费尧多尔:翟松 德米特里:王瀚宇 伊万:钟舜傲 阿辽沙:郭虹旭 斯乜尔加科夫:张泽,上海大剧院别克中剧场
2023-01-02 19:30,上海,阴天,金祐镇:叶麒圣 尹心惪:李炜铃 神秘男子:王培杰,上海共舞台
2023-01-02 19:30,上海,沉默的真相,江阳:舒杨 严良:徐昊 李静:江南 玲玲:刘乙萱 张超:袁野 朱伟:吴俊鹏 陈明章:桑可舟 赵铁民:郝晓辉 李建国:刘政 吴爱可:陈姝月 岳军:田野,人民大舞台
2023-01-02 19:30,上海,致命旋律,尼古拉斯:丁宇佳 科伦:姜崃 杰弗瑞:方银河 艾芙琳:曹小欠儿,长江剧场黑匣子
2023-01-02 19:30,上海,桑塔露琪亚,Stevie:舒荣波 Chi Chi:周仕麒 Sonny Boy:郭嘉轩,星空间6号·一台好戏小剧场
2023-01-02 19:30,上海,翻国王棋,奥尔森:刘瀚聪 克雷加德:刘阳 戈布:刘官卫 弗雷:于滨嘉 玛尼:邵立君 伊敦:暴晓萱,星空间77号·鲸剧场
2023-01-02 19:30,上海,嘿！亚利桑那,简:吴杭律 比利:曹牧之 怀亚特:孙之骥 约瑟芬:周文嘉 强尼:连江维 哈利:唐超 波特:高旭,嘿！亚利桑那
2023-01-02 19:30,上海,吸血鬼亚瑟,亚瑟:潘龙 艾玛:陈玉婷 约翰:刘勃汐,星空间15号·睿鱼剧场
2023-01-02 19:30,北京,致命旋律,尼古拉斯:王帅 科伦:李卓远 杰弗瑞:李信 艾芙琳:刘晓燕,开心麻花A66剧场
2023-01-02 19:30,成都,阿波罗尼亚,理查德:施天玮 奥斯卡:周靖杰 史蒂夫:邓欣锐,西部文化产业中心·一台好戏小剧场
2023-01-02 19:30,广州,阿波罗尼亚,理查德:陈科铭 奥斯卡:朱亚洲 史蒂夫:赵霄汉,阿波罗尼亚·广州馆
2023-01-02 19:30,武汉,灯塔,霍普:宋凯文 怀恩:张艺 守塔人:张鑫澳,武汉剧院小剧场
2023-01-03 19:30,上海,卡拉马佐夫兄弟,费尧多尔:翟松 德米特里:王瀚宇 伊万:刘令飞 阿辽沙:钟嘉诚 斯乜尔加科夫:张泽,上海大剧院别克中剧场
2023-01-03 19:30,上海,阴天,金祐镇:叶麒圣 尹心惪:李炜铃 神秘男子:王培杰,上海共舞台
2023-01-03 19:30,上海,桑塔露琪亚,Stevie:牛博为 Chi Chi:徐昊 Sonny Boy:朱亮,星空间6号·一台好戏小剧场
2023-01-03 19:30,上海,阿波罗尼亚,理查德:李苏霖 奥斯卡:姜崃 史蒂夫:曹牧之,星空间1号·一台好戏小剧场
2023-01-03 19:30,上海,翻国王棋,奥尔森:刘瀚聪 克雷加德:李秋盟 戈布:蔡淇 弗雷:车鸣笛 玛尼:李子涵 伊敦:暴晓萱,星空间77号·鲸剧场
2023-01-03 19:30,上海,银河铁道之夜,乔班尼:张旭辰 康贝瑞拉:赵伟钢,星空间99号·Salute小剧场
2023-01-03 19:30,上海,危险游戏,RICHARD:管重昊 NATHAN:夏阳,星空间66号·Salute小剧场
2023-01-04 19:30,上海,卡拉马佐夫兄弟,费尧多尔:翟松 德米特里:王瀚宇 伊万:刘令飞 阿辽沙:郭虹旭 斯乜尔加科夫:张泽,上海大剧院别克中剧场
2023-01-04 19:30,上海,阴天,金祐镇:钟舜傲 尹心惪:郭耀嵘 神秘男子:王培杰,上海共舞台
2023-01-04 19:30,上海,灯塔,霍普:赵洪博 怀恩:蔡淇 守塔人:孙欣业,星空间9号·鲸剧场
2023-01-04 19:30,上海,翻国王棋,奥尔森:刘瀚聪 克雷加德:遇泓羊 戈布:王颢珏 弗雷:林大钦 玛尼:宋元明 伊敦:杜钇樵,星空间77号·鲸剧场
2023-01-04 19:30,上海,嘿！亚利桑那,简:冯远 比利:李磊 怀亚特:施哲明 约瑟芬:王玙璠 强尼:王壹 哈利:唐超 波特:陈旭茂,嘿！亚利桑那
2023-01-04 19:30,上海,银河铁道之夜,乔班尼:夏阳 康贝瑞拉:李乐尧,星空间99号·Salute小剧场
2023-01-04 19:30,上海,危险游戏,RICHARD:徐昊 NATHAN:李苏霖,星空间66号·Salute小剧场
2023-01-04 19:30,广州,阿波罗尼亚,理查德:杨宇威 奥斯卡:朱亚洲 史蒂夫:李玉言,阿波罗尼亚·广州馆
2023-01-05 14:00,成都,熊猫,,熊猫剧院
2023-01-05 19:15,温州,狄俄尼索斯,狄俄尼索斯:林燕婷 阿波罗:王国栋 安普罗斯:刘明明,温州米葆演艺新空间
2023-01-05 19:30,上海,阴天,金祐镇:钟舜傲 尹心惪:郭耀嵘 神秘男子:王培杰,上海共舞台
2023-01-05 19:30,上海,桑塔露琪亚,Stevie:郝李英杰 Chi Chi:徐昊 Sonny Boy:李苏霖,星空间6号·一台好戏小剧场
2023-01-05 19:30,上海,灯塔,霍普:赵洪博 怀恩:刘瀚聪 守塔人:遇泓羊,星空间9号·鲸剧场
2023-01-05 19:30,上海,嘿！亚利桑那,简:冯远 比利:曹牧之 怀亚特:胡迪 约瑟芬:于梦滢 强尼:连江维 哈利:高瑞杰 波特:陈旭茂,嘿！亚利桑那
2023-01-05 19:30,上海,银河铁道之夜,乔班尼:夏阳 康贝瑞拉:赵伟钢,星空间99号·Salute小剧场
2023-01-05 19:30,成都,阿波罗尼亚,理查德:施天玮 奥斯卡:李政绪 史蒂夫:李存贤,西部文化产业中心·一台好戏小剧场
2023-01-05 19:30,武汉,灯塔,霍普:文振宇 怀恩:张艺 守塔人:张鑫澳,武汉剧院小剧场
2023-01-05 19:30,长沙,阿波罗尼亚,理查德:朱亮 奥斯卡:徐圣兹 史蒂夫:陈志,阿波罗尼亚·长沙馆
2023-01-06 14:00,成都,熊猫,,熊猫剧院
2023-01-06 14:30,成都,阿波罗尼亚,理查德:郭洧江 奥斯卡:李政绪 史蒂夫:李存贤,西部文化产业中心·一台好戏小剧场
2023-01-06 14:30,温州,狄俄尼索斯,狄俄尼索斯:黄可 阿波罗:王国栋 安普罗斯:刘明明,温州米葆演艺新空间
2023-01-06 19:15,温州,狄俄尼索斯,狄俄尼索斯:卓群 阿波罗:王国栋 安普罗斯:刘明明,温州米葆演艺新空间
2023-01-06 19:30,上海,蝶变,曼曼:叶嘉雯 沈文君:苗梦初 齐志平:付世刚,上海大剧院New Box 小剧场
2023-01-06 19:30,上海,卡拉马佐夫兄弟,费尧多尔:付翔 德米特里:王瀚宇 伊万:钟舜傲 阿辽沙:杨皓晨 斯乜尔加科夫:张泽,上海大剧院别克中剧场
2023-01-06 19:30,上海,阴天,金祐镇:钟嘉诚 尹心惪:李炜铃 神秘男子:王培杰,上海共舞台
2023-01-06 19:30,上海,南唐后主,李从嘉:王杨 李煜:徐泽辉 周娥皇:王洁璐 李景遂:遇泓羊 李弘冀:吴志军 李从善:蔡淇 潘佑:邵玎 周女英:陈薇 亡魂（林花）:高小茜 亡魂（梧桐）:徐杭 亡魂（寒雨）:周钰斐 亡魂（玉钩）:姜均,FANCL艺术中心艺海剧院
2023-01-06 19:30,上海,夜半歌声,宋丹萍:丁辉 绿蝶:年蔓婷 孙晓鸥:陆宇鹏 徐阿嬷:江珊 许维邦:丁伟 琳达:徐钰斐 红柳:王珏语涵 费南:朱微之 老冀:黄湙云 罗杰:赵雨阳,中国大戏院
2023-01-06 19:30,上海,桑塔露琪亚,Stevie:郝李英杰 Chi Chi:徐昊 Sonny Boy:李苏霖,星空间6号·一台好戏小剧场
2023-01-06 19:30,上海,阿波罗尼亚,理查德:徐佳文 奥斯卡:姜崃 史蒂夫:周仕麒,星空间1号·一台好戏小剧场
2023-01-06 19:30,上海,灯塔,霍普:霍京晖 怀恩:崔承宇 守塔人:翟松,星空间9号·鲸剧场
2023-01-06 19:30,上海,翻国王棋,奥尔森:郭虹旭 克雷加德:李秋盟 戈布:郭亢 弗雷:于滨嘉 玛尼:邵立君 伊敦:李佳音,星空间77号·鲸剧场
2023-01-06 19:30,上海,嘿！亚利桑那,简:李梓溪 比利:李磊 怀亚特:孙之骥 约瑟芬:周文嘉 强尼:王壹 哈利:王子初 波特:高旭,嘿！亚利桑那
2023-01-06 19:30,上海,致爱,艾丽莎:赵雨卉 付平安:孙礼杰,星空间11号·MOriginal Box
2023-01-06 19:30,上海,危险游戏,RICHARD:相征 NATHAN:毛二,星空间66号·Salute小剧场
2023-01-06 19:30,上海,吸血鬼亚瑟,亚瑟:许昌泰 艾玛:陈玉婷 约翰:刘勃汐,星空间15号·睿鱼剧场
2023-01-06 19:30,北京,两个人的谋杀,所有嫌疑犯:庞盛之 马库斯警官:钱海睿,天桥艺术中心小剧场
2023-01-06 19:30,北京,致命旋律,尼古拉斯:朱家鹏 科伦:李卓远 杰弗瑞:李信 艾芙琳:曹小欠儿,开心麻花A66剧场
2023-01-06 19:30,广州,基督山伯爵,埃德蒙:阿云嘎 梅茜苔丝:徐丽东 费尔南:李炜鹏 维尔福:姜彬 贝尔图乔:孙葛川野 贝内代托:周默涵 阿尔贝:索朗顿珠 瓦伦缇娜:陈恬 波尚:丁宇佳 埃尔米娜:苏晔 海蒂:丁臻滢 法里亚:郝晓辉,广州大剧院歌剧厅
2023-01-06 19:30,武汉,灯塔,霍普:宋凯文 怀恩:饶克勤 守塔人:刘秫呈,武汉剧院小剧场
2023-01-06 19:30,长沙,阿波罗尼亚,理查德:朱亮 奥斯卡:徐圣兹 史蒂夫:陈志,阿波罗尼亚·长沙馆
2023-01-06 19:30,苏州,我，堂吉诃德,塞万提斯/堂吉诃德:刘阳 阿尔东莎:刘浩冉 桑丘/侍从:连江维 旅店老板/司令:李金哲 卡拉斯科医生/公爵:武阳坤 神父/何塞:乐巍 管家:暴晓萱 佩德罗:郑正 安东尼娅:李泽美 玛利亚:陶轶琪 理发师/费尔迪南:蒋梦诗 审讯队长/帕科:李曌 小驴/帕斯卡尓:沈道灵 小马/达里奥:汪晓宇 加西亚:赵轩霆,苏州文化艺术中心大剧院
2023-01-06 20:00,上海,银河铁道之夜,乔班尼:高杨 康贝瑞拉:李乐尧,星空间99号·Salute小剧场
2023-01-07 13:00,上海,致爱,艾丽莎:冯远 付平安:王桓,星空间11号·MOriginal Box
2023-01-07 13:00,上海,危险游戏,RICHARD:管重昊 NATHAN:张旭辰,星空间66号·Salute小剧场
2023-01-07 14:00,上海,蝶变,曼曼:叶嘉雯 沈文君:苗梦初 齐志平:付世刚,上海大剧院New Box 小剧场
2023-01-07 14:00,上海,南唐后主,李从嘉:张智涵 李煜:王敏辉 周娥皇:王梓庭 李景遂:胡芳洲 李弘冀:白瀚祥 李从善:赵钱龙 潘佑:崔承宇 周女英:陈薇 亡魂（林花）:申帅 亡魂（梧桐）:徐杭 亡魂（寒雨）:周钰斐 亡魂（玉钩）:姜均,FANCL艺术中心艺海剧院
2023-01-07 14:00,上海,夜半歌声,宋丹萍:钟嘉诚 绿蝶:张诗漫 孙晓鸥:马灵奇 徐阿嬷:江珊 许维邦:丁伟 琳达:徐钰斐 红柳:冯兰婷 费南:朱微之 老冀:黄湙云 罗杰:袁梦轩,中国大戏院
2023-01-07 14:00,上海,翻国王棋,奥尔森:刘瀚聪 克雷加德:遇泓羊 戈布:王颢珏 弗雷:林大钦 玛尼:刘明明 伊敦:杜钇樵,星空间77号·鲸剧场
2023-01-07 14:00,北京,两个人的谋杀,所有嫌疑犯:庞盛之 马库斯警官:钱海睿,天桥艺术中心小剧场
2023-01-07 14:00,成都,熊猫,,熊猫剧院
2023-01-07 14:30,上海,阴天,金祐镇:钟舜傲 尹心惪:郭耀嵘 神秘男子:王培杰,上海共舞台
2023-01-07 14:30,上海,嘿！亚利桑那,简:吴杭律 比利:滕春鹏 怀亚特:施哲明 约瑟芬:王玙璠 强尼:褚俊驰 哈利:唐超 波特:高旭,嘿！亚利桑那
2023-01-07 14:30,上海,吸血鬼亚瑟,亚瑟:潘龙 艾玛:蔡馨怡 约翰:黄偲,星空间15号·睿鱼剧场
2023-01-07 14:30,北京,爱，死机了,王初初:许沁 方崇心:王帅,开心麻花A33剧场
2023-01-07 14:30,北京,致命旋律,尼古拉斯:朱家鹏 科伦:李卓远 杰弗瑞:李信 艾芙琳:曹小欠儿,开心麻花A66剧场
2023-01-07 14:30,广州,基督山伯爵,埃德蒙:阿云嘎 梅茜苔丝:徐丽东 费尔南:孙圣凯 维尔福:姜彬 贝尔图乔:孙葛川野 贝内代托:席同歌 阿尔贝:索朗顿珠 瓦伦缇娜:黄恩茹 波尚:丁宇佳 埃尔米娜:苏晔 海蒂:于佳鑫 法里亚:郝晓辉,广州大剧院歌剧厅
2023-01-07 15:00,武汉,灯塔,霍普:文振宇 怀恩:饶克勤 守塔人:刘秫呈,武汉剧院小剧场
2023-01-07 16:00,南京,香水之谜,凯瑟琳娜/罗西娜:赵昀迪 多梅尼克/保罗:韩逸秋 亨利二世/安东尼:胡天祺 夜莺:秦雨,香水之谜剧场
2023-01-07 16:30,上海,致爱,艾丽莎:王洁璐 付平安:白倬铭,星空间11号·MOriginal Box
2023-01-07 19:00,北京,两个人的谋杀,所有嫌疑犯:翟松 马库斯警官:张玮伦,天桥艺术中心小剧场
2023-01-07 19:00,南京,人间失格,大庭叶藏:白举纲 太宰治:刘令飞 祝子:李炜铃 堀木正雄:亚森 恒子:徐梦,南京保利大剧院大剧场
2023-01-07 19:30,上海,蝶变,曼曼:胥子含 沈文君:邓贤凌 齐志平:黄周,上海大剧院New Box 小剧场
2023-01-07 19:30,上海,阴天,金祐镇:钟嘉诚 尹心惪:郭耀嵘 神秘男子:王培杰,上海共舞台
2023-01-07 19:30,上海,南唐后主,李从嘉:王杨 李煜:徐泽辉 周娥皇:王梓庭 李景遂:胡芳洲 李弘冀:白瀚祥 李从善:赵钱龙 潘佑:邵玎 周女英:陈薇 亡魂（林花）:申帅 亡魂（梧桐）:徐杭 亡魂（寒雨）:周钰斐 亡魂（玉钩）:姜均,FANCL艺术中心艺海剧院
2023-01-07 19:30,上海,桑塔露琪亚,Stevie:舒荣波 Chi Chi:王天择 Sonny Boy:郭嘉轩,星空间6号·一台好戏小剧场
2023-01-07 19:30,上海,阿波罗尼亚,理查德:李磊 奥斯卡:李秋盟 史蒂夫:曹牧之,星空间1号·一台好戏小剧场
2023-01-07 19:30,上海,翻国王棋,奥尔森:郭虹旭 克雷加德:张琦铭 戈布:蔡淇 弗雷:于滨嘉 玛尼:周波 伊敦:李佳音,星空间77号·鲸剧场
2023-01-07 19:30,上海,嘿！亚利桑那,简:吴杭律 比利:滕春鹏 怀亚特:胡迪 约瑟芬:王玙璠 强尼:褚俊驰 哈利:唐超 波特:高旭,嘿！亚利桑那
2023-01-07 19:30,上海,危险游戏,RICHARD:徐昊 NATHAN:李苏霖,星空间66号·Salute小剧场
2023-01-07 19:30,上海,吸血鬼亚瑟,亚瑟:许昌泰 艾玛:邱鑫悦 约翰:黄偲,星空间15号·睿鱼剧场
2023-01-07 19:30,北京,爱，死机了,王初初:冯鑫垚 方崇心:周晓芃,开心麻花A33剧场
2023-01-07 19:30,北京,致命旋律,尼古拉斯:朱家鹏 科伦:李卓远 杰弗瑞:李信 艾芙琳:曹小欠儿,开心麻花A66剧场
2023-01-07 19:30,成都,阿波罗尼亚,理查德:郭洧江 奥斯卡:李政绪 史蒂夫:李存贤,西部文化产业中心·一台好戏小剧场
2023-01-07 19:30,成都,灯塔,霍普:廖城志 怀恩:王世鑫 守塔人:范杰,西部文化产业中心·鲸剧场
2023-01-07 19:30,广州,基督山伯爵,埃德蒙:于毅 梅茜苔丝:娄艺潇 费尔南:李炜鹏 维尔福:姜彬 贝尔图乔:孙葛川野 贝内代托:徐栋 阿尔贝:索朗顿珠 瓦伦缇娜:黄恩茹 波尚:丁宇佳 埃尔米娜:苏晔 海蒂:丁臻滢 法里亚:郝晓辉,广州大剧院歌剧厅
2023-01-07 19:30,广州,阿波罗尼亚,理查德:杨宇威 奥斯卡:张毅凯 史蒂夫:李玉言,阿波罗尼亚·广州馆
2023-01-07 19:30,武汉,灯塔,霍普:文振宇 怀恩:饶克勤 守塔人:张鑫澳,武汉剧院小剧场
2023-01-07 19:30,长沙,阿波罗尼亚,理查德:施博威 奥斯卡:徐圣兹 史蒂夫:郑文博,阿波罗尼亚·长沙馆
2023-01-07 19:30,苏州,我，堂吉诃德,塞万提斯/堂吉诃德:刘阳 阿尔东莎:刘浩冉 桑丘/侍从:连江维 旅店老板/司令:李金哲 卡拉斯科医生/公爵:武阳坤 神父/何塞:乐巍 管家:暴晓萱 佩德罗:郑正 安东尼娅:李泽美 玛利亚:陶轶琪 理发师/费尔迪南:蒋梦诗 审讯队长/帕科:李曌 小驴/帕斯卡尓:沈道灵 小马/达里奥:汪晓宇 加西亚:赵轩霆,苏州文化艺术中心大剧院
2023-01-07 20:00,上海,致爱,艾丽莎:周文嘉 付平安:孙礼杰,星空间11号·MOriginal Box
2023-01-07 20:00,上海,银河铁道之夜,乔班尼:夏阳 康贝瑞拉:刘官卫,星空间99号·Salute小剧场
2023-01-08 13:00,上海,致爱,艾丽莎:李梓溪 付平安:张博俊,星空间11号·MOriginal Box
2023-01-08 13:00,上海,危险游戏,RICHARD:曹珺 NATHAN:夏阳,星空间66号·Salute小剧场
2023-01-08 14:00,上海,蝶变,曼曼:胥子含 沈文君:邓贤凌 齐志平:黄周,上海大剧院New Box 小剧场
2023-01-08 14:00,上海,南唐后主,李从嘉:张智涵 李煜:王敏辉 周娥皇:王洁璐 李景遂:遇泓羊 李弘冀:白瀚祥 李从善:蔡淇 潘佑:邵玎 周女英:叶嘉雯 亡魂（林花）:申帅 亡魂（梧桐）:徐杭 亡魂（寒雨）:周钰斐 亡魂（玉钩）:姜均,FANCL艺术中心艺海剧院
2023-01-08 14:00,上海,夜半歌声,宋丹萍:郑棋元 绿蝶:喻越越 孙晓鸥:陆宇鹏 徐阿嬷:江珊 许维邦:丁伟 琳达:徐钰斐 红柳:冯兰婷 费南:朱微之 老冀:黄湙云 罗杰:赵雨阳,中国大戏院
2023-01-08 14:00,上海,翻国王棋,奥尔森:刘瀚聪 克雷加德:张琦铭 戈布:刘官卫 弗雷:于滨嘉 玛尼:刘明明 伊敦:杜钇樵,星空间77号·鲸剧场
2023-01-08 14:00,北京,两个人的谋杀,所有嫌疑犯:翟松 马库斯警官:张玮伦,天桥艺术中心小剧场
2023-01-08 14:00,成都,熊猫,,熊猫剧院
2023-01-08 14:30,上海,阴天,金祐镇:钟舜傲 尹心惪:郭耀嵘 神秘男子:赵伟钢,上海共舞台
2023-01-08 14:30,上海,灯塔,霍普:元佳辰 怀恩:冯文彦 守塔人:张哲豪,星空间9号·鲸剧场
2023-01-08 14:30,上海,嘿！亚利桑那,简:冯远 比利:曹牧之 怀亚特:胡迪 约瑟芬:周文嘉 强尼:连江维 哈利:唐超 波特:高旭,嘿！亚利桑那
2023-01-08 14:30,北京,爱，死机了,王初初:冯鑫垚 方崇心:周晓芃,开心麻花A33剧场
2023-01-08 14:30,北京,致命旋律,尼古拉斯:朱家鹏 科伦:李卓远 杰弗瑞:李信 艾芙琳:曹小欠儿,开心麻花A66剧场
2023-01-08 14:30,广州,基督山伯爵,埃德蒙:于毅 梅茜苔丝:徐丽东 费尔南:孙圣凯 维尔福:夏振凯 贝尔图乔:孙葛川野 贝内代托:周默涵 阿尔贝:索朗顿珠 瓦伦缇娜:陈恬 波尚:丁宇佳 埃尔米娜:苏晔 海蒂:于佳鑫 法里亚:郝晓辉,广州大剧院歌剧厅
2023-01-08 14:30,广州,阿波罗尼亚,理查德:杨宇威 奥斯卡:朱亚洲 史蒂夫:陈志,阿波罗尼亚·广州馆
2023-01-08 14:30,南京,人间失格,大庭叶藏:刘令飞 太宰治:白举纲 祝子:李炜铃 堀木正雄:亚森 恒子:徐梦,南京保利大剧院大剧场
2023-01-08 16:30,上海,致爱,艾丽莎:赵雨卉 付平安:白倬铭,星空间11号·MOriginal Box
2023-01-08 16:30,上海,银河铁道之夜,乔班尼:高杨 康贝瑞拉:李乐尧,星空间99号·Salute小剧场
2023-01-08 19:30,上海,蝶变,曼曼:赵嘉艳 沈文君:张沁丹 齐志平:刘泽星,上海大剧院New Box 小剧场
